Date,Close,Date,Close,Date,Close
4/27/2023 16:00:00,168.41,4/27/2023 16:00:00,412.41,4/27/2023 16:00:00,320.35
4/28/2023 16:00:00,169.68,4/28/2023 16:00:00,415.93,4/28/2023 16:00:00,322.56
5/1/2023 16:00:00,169.59,5/1/2023 16:00:00,415.51,5/1/2023 16:00:00,322.19
5/2/2023 16:00:00,168.54,5/2/2023 16:00:00,410.84,5/2/2023 16:00:00,319.38
5/3/2023 16:00:00,167.45,5/3/2023 16:00:00,408.02,5/3/2023 16:00:00,317.29
5/4/2023 16:00:00,165.79,5/4/2023 16:00:00,405.13,5/4/2023 16:00:00,316.17
5/5/2023 16:00:00,173.57,5/5/2023 16:00:00,412.63,5/5/2023 16:00:00,322.89
5/8/2023 16:00:00,173.5,5/8/2023 16:00:00,412.74,5/8/2023 16:00:00,323.69
5/9/2023 16:00:00,171.77,5/9/2023 16:00:00,410.93,5/9/2023 16:00:00,321.64
5/10/2023 16:00:00,173.56,5/10/2023 16:00:00,412.85,5/10/2023 16:00:00,325.14
5/11/2023 16:00:00,173.75,5/11/2023 16:00:00,412.13,5/11/2023 16:00:00,326.2
5/12/2023 16:00:00,172.57,5/12/2023 16:00:00,411.59,5/12/2023 16:00:00,325.03
5/15/2023 16:00:00,172.07,5/15/2023 16:00:00,413.01,5/15/2023 16:00:00,326.79
5/16/2023 16:00:00,172.07,5/16/2023 16:00:00,410.25,5/16/2023 16:00:00,327.16
5/17/2023 16:00:00,172.69,5/17/2023 16:00:00,415.23,5/17/2023 16:00:00,331.12
5/18/2023 16:00:00,175.05,5/18/2023 16:00:00,419.23,5/18/2023 16:00:00,337.27
5/19/2023 16:00:00,175.16,5/19/2023 16:00:00,418.62,5/19/2023 16:00:00,336.51
5/22/2023 16:00:00,174.2,5/22/2023 16:00:00,418.79,5/22/2023 16:00:00,337.64
5/23/2023 16:00:00,171.56,5/23/2023 16:00:00,414.09,5/23/2023 16:00:00,333.36
5/24/2023 16:00:00,171.84,5/24/2023 16:00:00,411.09,5/24/2023 16:00:00,331.65
5/25/2023 16:00:00,172.99,5/25/2023 16:00:00,414.65,5/25/2023 16:00:00,339.72
5/26/2023 16:00:00,175.43,5/26/2023 16:00:00,420.02,5/26/2023 16:00:00,348.4
5/30/2023 16:00:00,177.3,5/30/2023 16:00:00,420.18,5/30/2023 16:00:00,349.98
5/31/2023 16:00:00,177.25,5/31/2023 16:00:00,417.85,5/31/2023 16:00:00,347.99
6/1/2023 16:00:00,180.09,6/1/2023 16:00:00,421.82,6/1/2023 16:00:00,352.01
6/2/2023 16:00:00,180.95,6/2/2023 16:00:00,427.92,6/2/2023 16:00:00,354.65
